,산업에너지소비량,지연전류무효전력량,선행전류무효전력량,CO2배출량,지연전류량,선행전류량,부하량구분,측정일
56,3.64,0.0,16.67,0.0,100.0,21.33,Light_Load,2024-01-01 14:15:00
57,3.78,0.0,18.25,0.0,100.0,20.28,Light_Load,2024-01-01 14:30:00
58,4.1,0.0,22.1,0.0,100.0,18.24,Light_Load,2024-01-01 14:45:00
59,3.64,0.0,16.7,0.0,100.0,21.3,Light_Load,2024-01-01 15:00:00
60,3.92,0.0,19.33,0.0,100.0,19.87,Light_Load,2024-01-01 15:15:00
61,4.1,0.0,21.35,0.0,100.0,18.86,Light_Load,2024-01-01 15:30:00
62,3.6,0.0,16.81,0.0,100.0,20.94,Light_Load,2024-01-01 15:45:00
63,3.96,0.0,20.45,0.0,100.0,19.01,Light_Load,2024-01-01 16:00:00
64,4.0,0.0,20.77,0.0,100.0,18.91,Light_Load,2024-01-01 16:15:00
65,3.6,0.0,16.81,0.0,100.0,20.94,Light_Load,2024-01-01 16:30:00
66,4.07,0.0,21.64,0.0,100.0,18.48,Light_Load,2024-01-01 16:45:00
67,3.82,0.0,19.19,0.0,100.0,19.52,Light_Load,2024-01-01 17:00:00
68,3.56,0.0,16.96,0.0,100.0,20.54,Light_Load,2024-01-01 17:15:00
69,4.1,0.0,23.51,0.0,100.0,17.18,Light_Load,2024-01-01 17:30:00
70,3.6,0.0,17.39,0.0,100.0,20.27,Light_Load,2024-01-01 17:45:00
71,3.6,0.0,17.35,0.0,100.0,20.32,Light_Load,2024-01-01 18:00:00
72,4.0,0.0,8.96,0.0,100.0,40.77,Light_Load,2024-01-01 18:15:00
73,3.42,0.0,5.47,0.0,100.0,53.01,Light_Load,2024-01-01 18:30:00
74,3.67,0.0,16.24,0.0,100.0,22.04,Light_Load,2024-01-01 18:45:00
75,4.07,0.0,22.57,0.0,100.0,17.75,Light_Load,2024-01-01 19:00:00
76,3.53,0.0,17.39,0.0,100.0,19.89,Light_Load,2024-01-01 19:15:00
77,3.85,0.0,20.74,0.0,100.0,18.25,Light_Load,2024-01-01 19:30:00
78,3.96,0.0,20.88,0.0,100.0,18.63,Light_Load,2024-01-01 19:45:00
79,3.56,0.0,17.35,0.0,100.0,20.1,Light_Load,2024-01-01 20:00:00
80,4.03,0.0,22.54,0.0,100.0,17.6,Light_Load,2024-01-01 20:15:00
81,3.74,0.0,19.55,0.0,100.0,18.79,Light_Load,2024-01-01 20:30:00
82,3.56,0.0,17.42,0.0,100.0,20.02,Light_Load,2024-01-01 20:45:00
83,4.21,0.0,24.26,0.0,100.0,17.1,Light_Load,2024-01-01 21:00:00
84,3.56,0.0,17.75,0.0,100.0,19.66,Light_Load,2024-01-01 21:15:00
85,3.53,0.0,17.42,0.0,100.0,19.86,Light_Load,2024-01-01 21:30:00
86,4.25,0.0,25.2,0.0,100.0,16.63,Light_Load,2024-01-01 21:45:00
87,3.53,0.0,17.5,0.0,100.0,19.77,Light_Load,2024-01-01 22:00:00
88,3.56,1.44,10.08,0.0,92.7,33.3,Light_Load,2024-01-01 22:15:00
89,3.67,4.21,0.0,0.0,65.71,100.0,Light_Load,2024-01-01 22:30:00
90,3.24,3.35,0.0,0.0,69.52,100.0,Light_Load,2024-01-01 22:45:00
91,3.53,3.74,0.0,0.0,68.64,100.0,Light_Load,2024-01-01 23:00:00
92,3.53,3.42,0.0,0.0,71.82,100.0,Light_Load,2024-01-01 23:15:00
93,3.24,2.95,0.0,0.0,73.94,100.0,Light_Load,2024-01-01 23:30:00
94,3.67,3.96,0.0,0.0,67.97,100.0,Light_Load,2024-01-01 23:45:00
95,3.42,3.46,0.0,0.0,70.3,100.0,Light_Load,2024-01-01 00:00:00
96,3.2,3.1,0.0,0.0,71.82,100.0,Light_Load,2024-01-02 00:15:00
97,3.85,4.61,0.0,0.0,64.1,100.0,Light_Load,2024-01-02 00:30:00
98,3.28,3.67,0.0,0.0,66.64,100.0,Light_Load,2024-01-02 00:45:00
99,3.35,3.6,0.0,0.0,68.12,100.0,Light_Load,2024-01-02 01:00:00
100,3.89,4.72,0.0,0.0,63.6,100.0,Light_Load,2024-01-02 01:15:00
101,3.28,3.53,0.0,0.0,68.07,100.0,Light_Load,2024-01-02 01:30:00
102,3.46,3.96,0.0,0.0,65.8,100.0,Light_Load,2024-01-02 01:45:00
103,3.78,4.82,0.0,0.0,61.71,100.0,Light_Load,2024-01-02 02:00:00
104,3.31,3.53,0.0,0.0,68.4,100.0,Light_Load,2024-01-02 02:15:00
105,3.6,4.36,0.0,0.0,63.67,100.0,Light_Load,2024-01-02 02:30:00
106,3.64,4.39,0.0,0.0,63.83,100.0,Light_Load,2024-01-02 02:45:00
107,3.28,3.71,0.0,0.0,66.24,100.0,Light_Load,2024-01-02 03:00:00
108,3.71,4.57,0.0,0.0,63.03,100.0,Light_Load,2024-01-02 03:15:00
109,3.56,4.03,0.0,0.0,66.21,100.0,Light_Load,2024-01-02 03:30:00
110,3.24,3.49,0.0,0.0,68.04,100.0,Light_Load,2024-01-02 03:45:00
111,3.89,4.64,0.0,0.0,64.25,100.0,Light_Load,2024-01-02 04:00:00
112,3.28,3.42,0.0,0.0,69.22,100.0,Light_Load,2024-01-02 04:15:00
113,3.28,3.49,0.0,0.0,68.48,100.0,Light_Load,2024-01-02 04:30:00
114,3.96,4.68,0.0,0.0,64.59,100.0,Light_Load,2024-01-02 04:45:00
115,3.24,3.42,0.0,0.0,68.77,100.0,Light_Load,2024-01-02 05:00:00
116,3.46,3.78,0.0,0.0,67.52,100.0,Light_Load,2024-01-02 05:15:00
117,3.67,4.07,0.0,0.0,66.97,100.0,Light_Load,2024-01-02 05:30:00
118,3.24,3.42,0.0,0.0,68.77,100.0,Light_Load,2024-01-02 05:45:00
119,3.67,3.96,0.0,0.0,67.97,100.0,Light_Load,2024-01-02 06:00:00
120,3.53,3.78,0.0,0.0,68.25,100.0,Light_Load,2024-01-02 06:15:00
121,3.2,3.24,0.0,0.0,70.27,100.0,Light_Load,2024-01-02 06:30:00
122,3.78,4.07,0.0,0.0,68.05,100.0,Light_Load,2024-01-02 06:45:00
123,3.35,3.35,0.0,0.0,70.71,100.0,Light_Load,2024-01-02 07:00:00
124,3.53,3.49,0.0,0.0,71.11,100.0,Light_Load,2024-01-02 07:15:00
125,6.3,4.57,0.0,0.0,80.95,100.0,Light_Load,2024-01-02 07:30:00
126,6.05,4.79,0.0,0.0,78.4,100.0,Light_Load,2024-01-02 07:45:00
127,6.73,4.54,0.0,0.0,82.9,100.0,Light_Load,2024-01-02 08:00:00
128,29.02,18.83,0.07,0.0,83.89,100.0,Light_Load,2024-01-02 08:15:00
129,46.19,28.66,0.0,0.0,84.97,100.0,Light_Load,2024-01-02 08:30:00
130,52.06,35.32,0.0,0.0,82.75,100.0,Light_Load,2024-01-02 08:45:00
131,56.2,12.53,0.11,0.0,97.6,100.0,Light_Load,2024-01-02 09:00:00
132,56.84,8.32,0.0,0.0,98.95,100.0,Medium_Load,2024-01-02 09:15:00
133,51.26,4.54,0.94,0.0,99.61,99.98,Medium_Load,2024-01-02 09:30:00
134,48.13,2.34,1.15,0.0,99.88,99.97,Medium_Load,2024-01-02 09:45:00
135,52.81,7.06,0.54,0.0,99.12,99.99,Medium_Load,2024-01-02 10:00:00
136,54.79,7.52,0.14,0.0,99.07,100.0,Maximum_Load,2024-01-02 10:15:00
137,53.21,8.35,0.11,0.0,98.79,100.0,Maximum_Load,2024-01-02 10:30:00
138,80.21,32.4,0.0,0.0,92.72,100.0,Maximum_Load,2024-01-02 10:45:00
139,77.58,25.49,0.0,0.0,95.0,100.0,Maximum_Load,2024-01-02 11:00:00
140,128.52,70.85,0.0,0.0,87.57,100.0,Maximum_Load,2024-01-02 11:15:00
141,144.47,78.48,0.0,0.0,87.87,100.0,Maximum_Load,2024-01-02 11:30:00
142,90.86,54.29,0.0,0.0,85.84,100.0,Maximum_Load,2024-01-02 11:45:00
143,123.3,66.06,0.0,0.0,88.15,100.0,Maximum_Load,2024-01-02 12:00:00
144,19.22,5.54,18.9,0.0,96.09,71.3,Medium_Load,2024-01-02 12:15:00
145,8.46,0.0,25.92,0.0,100.0,31.03,Medium_Load,2024-01-02 12:30:00
146,8.24,0.0,25.34,0.0,100.0,30.92,Medium_Load,2024-01-02 12:45:00
147,8.03,0.0,25.49,0.0,100.0,30.05,Medium_Load,2024-01-02 13:00:00
148,79.67,27.29,6.52,0.0,94.6,99.67,Medium_Load,2024-01-02 13:15:00
149,97.85,46.8,0.0,0.0,90.21,100.0,Medium_Load,2024-01-02 13:30:00
150,124.45,49.79,0.0,0.0,92.85,100.0,Medium_Load,2024-01-02 13:45:00
151,108.61,43.34,0.0,0.0,92.88,100.0,Medium_Load,2024-01-02 14:00:00
152,123.12,55.26,0.0,0.0,91.23,100.0,Medium_Load,2024-01-02 14:15:00
153,129.1,53.5,0.0,0.0,92.38,100.0,Medium_Load,2024-01-02 14:30:00
154,82.08,27.58,0.0,0.0,94.79,100.0,Medium_Load,2024-01-02 14:45:00
155,143.89,60.91,0.0,0.0,92.09,100.0,Medium_Load,2024-01-02 15:00:00
156,86.9,34.27,0.0,0.0,93.03,100.0,Medium_Load,2024-01-02 15:15:00
157,141.44,62.57,0.0,0.0,91.45,100.0,Medium_Load,2024-01-02 15:30:00
158,116.53,52.88,0.0,0.0,91.06,100.0,Medium_Load,2024-01-02 15:45:00
159,129.31,61.16,0.0,0.0,90.4,100.0,Medium_Load,2024-01-02 16:00:00
160,136.44,56.77,0.0,0.0,92.33,100.0,Medium_Load,2024-01-02 16:15:00
161,85.72,34.85,0.0,0.0,92.64,100.0,Medium_Load,2024-01-02 16:30:00
162,147.46,65.27,0.0,0.0,91.44,100.0,Medium_Load,2024-01-02 16:45:00
163,86.94,30.78,0.0,0.0,94.27,100.0,Medium_Load,2024-01-02 17:00:00
164,67.25,25.81,0.0,0.0,93.36,100.0,Maximum_Load,2024-01-02 17:15:00
165,115.78,50.04,0.0,0.0,91.79,100.0,Maximum_Load,2024-01-02 17:30:00
166,113.11,34.63,0.0,0.0,95.62,100.0,Maximum_Load,2024-01-02 17:45:00
167,76.75,11.74,1.04,0.0,98.85,99.99,Maximum_Load,2024-01-02 18:00:00
168,41.9,15.23,0.14,0.0,93.98,100.0,Maximum_Load,2024-01-02 18:15:00
169,37.4,19.94,0.0,0.0,88.24,100.0,Maximum_Load,2024-01-02 18:30:00
170,40.25,8.82,0.5,0.0,97.68,99.99,Maximum_Load,2024-01-02 18:45:00
171,34.92,1.98,1.58,0.0,99.84,99.9,Maximum_Load,2024-01-02 19:00:00
172,41.36,6.44,0.43,0.0,98.81,99.99,Maximum_Load,2024-01-02 19:15:00
173,35.96,2.52,1.37,0.0,99.76,99.93,Maximum_Load,2024-01-02 19:30:00
174,39.42,5.29,0.47,0.0,99.11,99.99,Maximum_Load,2024-01-02 19:45:00
175,38.16,4.68,0.5,0.0,99.26,99.99,Maximum_Load,2024-01-02 20:00:00
176,33.23,1.51,3.96,0.0,99.9,99.3,Medium_Load,2024-01-02 20:15:00
177,25.88,0.0,12.13,0.0,100.0,90.55,Medium_Load,2024-01-02 20:30:00
178,10.84,0.0,23.22,0.0,100.0,42.3,Medium_Load,2024-01-02 20:45:00
179,9.29,0.0,23.51,0.0,100.0,36.75,Medium_Load,2024-01-02 21:00:00
180,6.98,0.0,25.16,0.0,100.0,26.73,Medium_Load,2024-01-02 21:15:00
181,5.11,0.0,26.5,0.0,100.0,18.93,Medium_Load,2024-01-02 21:30:00
182,5.08,0.0,26.42,0.0,100.0,18.88,Medium_Load,2024-01-02 21:45:00
183,5.04,0.0,26.46,0.0,100.0,18.71,Medium_Load,2024-01-02 22:00:00
184,4.93,1.84,15.44,0.0,93.69,30.42,Maximum_Load,2024-01-02 22:15:00
185,4.64,5.22,0.0,0.0,66.44,100.0,Maximum_Load,2024-01-02 22:30:00
186,4.68,5.18,0.0,0.0,67.04,100.0,Maximum_Load,2024-01-02 22:45:00
187,4.68,5.11,0.0,0.0,67.54,100.0,Maximum_Load,2024-01-02 23:00:00
188,4.57,4.54,0.0,0.0,70.94,100.0,Light_Load,2024-01-02 23:15:00
189,4.57,4.25,0.0,0.0,73.23,100.0,Light_Load,2024-01-02 23:30:00
190,4.54,4.25,0.0,0.0,73.0,100.0,Light_Load,2024-01-02 23:45:00
191,4.61,4.21,0.0,0.0,73.84,100.0,Light_Load,2024-01-02 00:00:00
192,4.61,4.61,0.0,0.0,70.71,100.0,Light_Load,2024-01-03 00:15:00
193,4.61,4.54,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 00:30:00
194,4.57,4.5,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 00:45:00
195,4.57,4.61,0.0,0.0,70.4,100.0,Light_Load,2024-01-03 01:00:00
196,4.64,4.46,0.0,0.0,72.1,100.0,Light_Load,2024-01-03 01:15:00
197,4.64,4.57,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 01:30:00
198,4.61,4.79,0.0,0.0,69.34,100.0,Light_Load,2024-01-03 01:45:00
199,4.57,4.5,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 02:00:00
200,4.61,4.39,0.0,0.0,72.42,100.0,Light_Load,2024-01-03 02:15:00
201,4.64,4.75,0.0,0.0,69.88,100.0,Light_Load,2024-01-03 02:30:00
202,4.64,4.75,0.0,0.0,69.88,100.0,Light_Load,2024-01-03 02:45:00
203,4.57,4.75,0.0,0.0,69.33,100.0,Light_Load,2024-01-03 03:00:00
204,4.64,5.11,0.0,0.0,67.22,100.0,Light_Load,2024-01-03 03:15:00
205,4.64,4.72,0.0,0.0,70.1,100.0,Light_Load,2024-01-03 03:30:00
206,4.68,4.68,0.0,0.0,70.71,100.0,Light_Load,2024-01-03 03:45:00
207,4.57,4.46,0.0,0.0,71.57,100.0,Light_Load,2024-01-03 04:00:00
208,4.54,4.32,0.0,0.0,72.44,100.0,Light_Load,2024-01-03 04:15:00
209,4.61,4.46,0.0,0.0,71.87,100.0,Light_Load,2024-01-03 04:30:00
210,4.57,4.32,0.0,0.0,72.67,100.0,Light_Load,2024-01-03 04:45:00
211,4.61,4.32,0.0,0.0,72.97,100.0,Light_Load,2024-01-03 05:00:00
212,4.54,4.14,0.0,0.0,73.89,100.0,Light_Load,2024-01-03 05:15:00
213,4.57,4.21,0.0,0.0,73.55,100.0,Light_Load,2024-01-03 05:30:00
214,4.57,4.43,0.0,0.0,71.8,100.0,Light_Load,2024-01-03 05:45:00
215,4.57,4.5,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 06:00:00
216,4.64,4.61,0.0,0.0,70.94,100.0,Light_Load,2024-01-03 06:15:00
217,4.57,4.36,0.0,0.0,72.35,100.0,Light_Load,2024-01-03 06:30:00
218,4.61,4.54,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 06:45:00
219,4.54,4.28,0.0,0.0,72.76,100.0,Light_Load,2024-01-03 07:00:00
220,4.46,4.18,0.0,0.0,72.96,100.0,Light_Load,2024-01-03 07:15:00
221,6.12,4.25,0.0,0.0,82.14,100.0,Light_Load,2024-01-03 07:30:00
222,7.92,4.68,0.0,0.0,86.09,100.0,Light_Load,2024-01-03 07:45:00
223,9.58,4.36,0.0,0.0,91.02,100.0,Light_Load,2024-01-03 08:00:00
224,37.01,21.56,0.0,0.02,86.41,100.0,Light_Load,2024-01-03 08:15:00
225,74.59,35.86,0.0,0.03,90.13,100.0,Light_Load,2024-01-03 08:30:00
226,109.48,53.32,0.0,0.05,89.9,100.0,Light_Load,2024-01-03 08:45:00
227,105.08,31.82,0.0,0.05,95.71,100.0,Light_Load,2024-01-03 09:00:00
228,121.79,41.26,0.0,0.06,94.71,100.0,Medium_Load,2024-01-03 09:15:00
229,114.48,30.24,0.0,0.05,96.68,100.0,Medium_Load,2024-01-03 09:30:00
230,74.2,21.96,0.0,0.03,95.89,100.0,Medium_Load,2024-01-03 09:45:00
231,54.32,7.13,0.04,0.02,99.15,100.0,Medium_Load,2024-01-03 10:00:00
232,75.17,25.06,0.0,0.03,94.87,100.0,Maximum_Load,2024-01-03 10:15:00
233,58.07,12.24,0.0,0.03,97.85,100.0,Maximum_Load,2024-01-03 10:30:00
234,67.03,15.08,0.0,0.03,97.56,100.0,Maximum_Load,2024-01-03 10:45:00
235,74.59,31.64,0.04,0.03,92.06,100.0,Maximum_Load,2024-01-03 11:00:00
236,57.56,23.9,0.0,0.03,92.36,100.0,Maximum_Load,2024-01-03 11:15:00
237,78.62,48.06,0.0,0.04,85.32,100.0,Maximum_Load,2024-01-03 11:30:00
238,69.16,44.17,0.0,0.03,84.28,100.0,Maximum_Load,2024-01-03 11:45:00
239,74.05,44.78,0.0,0.03,85.57,100.0,Maximum_Load,2024-01-03 12:00:00
240,11.27,0.5,20.45,0.01,99.9,48.27,Medium_Load,2024-01-03 12:15:00
241,8.21,0.0,26.21,0.0,100.0,29.89,Medium_Load,2024-01-03 12:30:00
242,8.14,0.0,25.56,0.0,100.0,30.34,Medium_Load,2024-01-03 12:45:00
243,7.7,0.0,25.74,0.0,100.0,28.66,Medium_Load,2024-01-03 13:00:00
244,51.26,21.38,6.08,0.02,92.29,99.3,Medium_Load,2024-01-03 13:15:00
245,52.7,13.64,0.0,0.02,96.81,100.0,Medium_Load,2024-01-03 13:30:00
246,55.84,17.24,0.0,0.03,95.55,100.0,Medium_Load,2024-01-03 13:45:00
247,57.2,17.32,0.0,0.03,95.71,100.0,Medium_Load,2024-01-03 14:00:00
248,76.57,30.6,0.0,0.04,92.86,100.0,Medium_Load,2024-01-03 14:15:00
249,61.13,20.45,0.0,0.03,94.83,100.0,Medium_Load,2024-01-03 14:30:00
250,66.74,26.42,0.0,0.03,92.98,100.0,Medium_Load,2024-01-03 14:45:00
251,55.8,16.42,0.0,0.03,95.93,100.0,Medium_Load,2024-01-03 15:00:00
252,57.46,18.25,0.0,0.03,95.31,100.0,Medium_Load,2024-01-03 15:15:00
253,71.28,28.08,0.0,0.03,93.04,100.0,Medium_Load,2024-01-03 15:30:00
254,73.15,28.62,0.0,0.03,93.13,100.0,Medium_Load,2024-01-03 15:45:00
255,68.98,25.81,0.0,0.03,93.66,100.0,Medium_Load,2024-01-03 16:00:00
256,85.0,27.79,0.0,0.04,95.05,100.0,Medium_Load,2024-01-03 16:15:00
257,116.53,41.9,0.0,0.05,94.1,100.0,Medium_Load,2024-01-03 16:30:00
258,118.62,39.06,0.0,0.05,94.98,100.0,Medium_Load,2024-01-03 16:45:00
259,105.05,35.64,0.0,0.05,94.7,100.0,Medium_Load,2024-01-03 17:00:00
260,140.51,52.96,0.0,0.06,93.57,100.0,Maximum_Load,2024-01-03 17:15:00
261,114.01,41.15,0.0,0.05,94.06,100.0,Maximum_Load,2024-01-03 17:30:00
262,125.96,39.2,0.0,0.06,95.48,100.0,Maximum_Load,2024-01-03 17:45:00
263,73.62,13.25,1.69,0.03,98.42,99.97,Maximum_Load,2024-01-03 18:00:00
264,36.22,12.74,0.54,0.02,94.33,99.99,Maximum_Load,2024-01-03 18:15:00
265,39.82,18.43,0.0,0.02,90.75,100.0,Maximum_Load,2024-01-03 18:30:00
266,37.08,4.18,1.94,0.02,99.37,99.86,Maximum_Load,2024-01-03 18:45:00
267,42.98,5.47,0.18,0.02,99.2,100.0,Maximum_Load,2024-01-03 19:00:00
268,37.94,0.86,1.58,0.02,99.97,99.91,Maximum_Load,2024-01-03 19:15:00
269,39.71,3.74,0.79,0.02,99.56,99.98,Maximum_Load,2024-01-03 19:30:00
270,43.2,5.69,0.18,0.02,99.14,100.0,Maximum_Load,2024-01-03 19:45:00
271,37.33,1.19,1.66,0.02,99.95,99.9,Maximum_Load,2024-01-03 20:00:00
272,41.0,5.62,0.54,0.02,99.07,99.99,Medium_Load,2024-01-03 20:15:00
273,37.3,2.88,1.22,0.02,99.7,99.95,Medium_Load,2024-01-03 20:30:00
274,32.72,2.02,6.98,0.02,99.81,97.8,Medium_Load,2024-01-03 20:45:00
275,9.83,0.0,23.83,0.0,100.0,38.13,Medium_Load,2024-01-03 21:00:00
276,7.96,0.0,24.8,0.0,100.0,30.56,Medium_Load,2024-01-03 21:15:00
277,5.44,0.0,26.82,0.0,100.0,19.88,Medium_Load,2024-01-03 21:30:00
278,5.11,0.0,26.78,0.0,100.0,18.74,Medium_Load,2024-01-03 21:45:00
279,5.18,0.0,26.78,0.0,100.0,18.99,Medium_Load,2024-01-03 22:00:00
280,4.97,1.91,15.16,0.0,93.34,31.15,Maximum_Load,2024-01-03 22:15:00
281,4.75,5.26,0.0,0.0,67.02,100.0,Maximum_Load,2024-01-03 22:30:00
282,4.64,5.15,0.0,0.0,66.94,100.0,Maximum_Load,2024-01-03 22:45:00
283,4.64,4.97,0.0,0.0,68.24,100.0,Maximum_Load,2024-01-03 23:00:00
284,4.72,4.39,0.0,0.0,73.22,100.0,Light_Load,2024-01-03 23:15:00
285,4.61,4.25,0.0,0.0,73.52,100.0,Light_Load,2024-01-03 23:30:00
286,4.57,4.43,0.0,0.0,71.8,100.0,Light_Load,2024-01-03 23:45:00
287,4.57,4.5,0.0,0.0,71.25,100.0,Light_Load,2024-01-03 00:00:00
288,4.61,4.57,0.0,0.0,71.02,100.0,Light_Load,2024-01-04 00:15:00
289,4.64,4.57,0.0,0.0,71.25,100.0,Light_Load,2024-01-04 00:30:00
290,4.64,4.68,0.0,0.0,70.41,100.0,Light_Load,2024-01-04 00:45:00
291,4.61,4.79,0.0,0.0,69.34,100.0,Light_Load,2024-01-04 01:00:00
292,4.61,4.64,0.0,0.0,70.48,100.0,Light_Load,2024-01-04 01:15:00
293,4.61,4.93,0.0,0.0,68.3,100.0,Light_Load,2024-01-04 01:30:00
294,4.68,4.64,0.0,0.0,71.01,100.0,Light_Load,2024-01-04 01:45:00
295,4.64,4.79,0.0,0.0,69.58,100.0,Light_Load,2024-01-04 02:00:00
296,4.61,4.75,0.0,0.0,69.65,100.0,Light_Load,2024-01-04 02:15:00
297,4.64,4.9,0.0,0.0,68.76,100.0,Light_Load,2024-01-04 02:30:00
298,4.61,4.9,0.0,0.0,68.52,100.0,Light_Load,2024-01-04 02:45:00
299,4.68,4.93,0.0,0.0,68.85,100.0,Light_Load,2024-01-04 03:00:00
300,4.68,5.0,0.0,0.0,68.34,100.0,Light_Load,2024-01-04 03:15:00
301,4.61,4.86,0.0,0.0,68.82,100.0,Light_Load,2024-01-04 03:30:00
302,4.61,4.86,0.0,0.0,68.82,100.0,Light_Load,2024-01-04 03:45:00
303,4.68,5.15,0.0,0.0,67.25,100.0,Light_Load,2024-01-04 04:00:00
