,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),측정시간
31,-3.2,,0.5,20.0,69.0,3.3,-8.0,1018.1,1029.2,,,,,0.0,,,1249,-4.3,-1.0,0.2,1.0,1.6,2023-06-25 07:00:00
32,-3.4,,0.8,360.0,71.0,3.4,-7.9,1018.2,1029.3,0.0,0.0,,,0.0,,,1179,-4.4,-1.1,0.1,1.0,1.6,2023-06-25 08:00:00
33,-3.1,,0.2,0.0,66.0,3.2,-8.5,1018.5,1029.6,0.0,0.12,,,0.0,,,1168,-3.1,-0.8,0.2,1.0,1.6,2023-06-25 09:00:00
34,-1.4,,1.9,290.0,50.0,2.8,-10.5,1018.9,1029.9,1.0,0.38,,,0.0,,,1355,-0.9,-0.3,0.2,1.0,1.6,2023-06-25 10:00:00
35,-0.4,,2.3,290.0,40.0,2.4,-12.3,1019.1,1030.1,1.0,0.66,,,0.0,,,1633,-0.1,-0.1,0.2,1.0,1.5,2023-06-25 11:00:00
36,0.9,,1.9,270.0,29.0,1.9,-15.1,1018.5,1029.4,1.0,0.88,,,0.0,,,1761,0.1,0.0,0.2,1.0,1.6,2023-06-25 12:00:00
37,1.5,,3.6,290.0,23.0,1.6,-17.4,1017.7,1028.6,1.0,0.95,,,0.0,,,1970,0.9,0.1,0.2,1.0,1.6,2023-06-25 13:00:00
38,1.7,,4.4,290.0,20.0,1.4,-18.9,1017.4,1028.3,1.0,0.91,,,0.0,,,1995,1.0,0.2,0.3,1.0,1.6,2023-06-25 14:00:00
39,1.5,,3.0,290.0,22.0,1.5,-17.9,1017.0,1027.9,1.0,0.76,,,4.0,Ci,,1998,0.6,0.1,0.3,1.0,1.6,2023-06-25 15:00:00
40,1.3,,2.9,290.0,23.0,1.5,-17.6,1017.2,1028.1,1.0,0.51,,,0.0,,,2000,0.0,0.2,0.3,1.0,1.6,2023-06-25 16:00:00
41,0.3,,2.6,270.0,27.0,1.7,-16.5,1017.5,1028.4,0.9,0.18,,,0.0,,,2000,-0.2,0.1,0.2,1.0,1.6,2023-06-25 17:00:00
42,-0.8,,2.3,270.0,24.0,1.4,-18.9,1018.5,1029.5,0.0,0.01,,,3.0,Ci,,2000,-0.9,0.0,0.2,1.0,1.6,2023-06-25 18:00:00
43,-1.3,,2.4,290.0,28.0,1.6,-17.5,1017.9,1028.9,,,,,,,,2000,-1.4,0.0,0.2,1.0,1.6,2023-06-25 19:00:00
44,-1.9,,2.2,320.0,26.0,1.4,-18.9,1017.8,1028.8,,,,,,,70.0,2000,-2.2,-0.1,0.3,1.0,1.6,2023-06-25 20:00:00
45,-2.6,,2.0,340.0,28.0,1.4,-18.6,1017.4,1028.4,,,,,3.0,Ci,,2000,-2.9,-0.1,0.3,1.0,1.6,2023-06-25 21:00:00
46,-3.4,,2.4,290.0,33.0,1.6,-17.4,1017.9,1029.0,,,,,,,55.0,2000,-2.9,-0.2,0.3,1.0,1.5,2023-06-25 22:00:00
47,-3.8,,2.3,360.0,35.0,1.6,-17.0,1018.6,1029.7,,,,,,,54.0,2000,-3.3,-0.4,0.2,0.9,1.6,2023-06-25 23:00:00
48,-4.3,,1.4,340.0,38.0,1.7,-16.5,1019.5,1030.6,,,,,8.0,Cs,,2000,-3.6,-0.6,0.2,1.0,1.5,2023-06-26 00:00:00
49,-5.0,,1.2,340.0,42.0,1.8,-15.9,1019.3,1030.5,,,,,,,54.0,1993,-4.3,-0.8,0.2,1.0,1.5,2023-06-26 01:00:00
50,-5.5,,2.0,320.0,43.0,1.7,-16.1,1019.9,1031.1,,,,,,,61.0,2000,-4.8,-1.1,0.1,0.9,1.5,2023-06-26 02:00:00
51,-6.1,,1.3,320.0,45.0,1.7,-16.1,1020.3,1031.5,,,,,6.0,Ci,,1999,-5.2,-1.4,0.1,1.0,1.5,2023-06-26 03:00:00
52,-6.1,,2.3,320.0,45.0,1.7,-16.1,1020.1,1031.3,,,,,8.0,Ci,,2000,-5.5,-1.5,0.1,0.9,1.5,2023-06-26 04:00:00
53,-6.4,,2.4,290.0,47.0,1.8,-15.8,1020.0,1031.2,,,,,8.0,Ci,,1981,-5.7,-1.6,0.1,1.0,1.6,2023-06-26 05:00:00
54,-6.7,,2.4,290.0,48.0,1.8,-15.9,1019.8,1031.0,,,,,6.0,Ci,,1991,-6.0,-1.8,0.1,0.9,1.5,2023-06-26 06:00:00
55,-6.9,,2.4,290.0,48.0,1.8,-16.0,1020.3,1031.6,,,,,4.0,Ci,,1974,-6.2,-2.0,0.0,0.9,1.5,2023-06-26 07:00:00
56,-7.0,,1.5,290.0,49.0,1.8,-15.9,1020.8,1032.1,0.0,0.0,,,3.0,Ci,,1971,-6.1,-2.1,0.0,0.9,1.5,2023-06-26 08:00:00
57,-6.8,,1.7,290.0,44.0,1.6,-17.0,1021.3,1032.6,0.6,0.16,,,1.0,Ci,,1858,-5.0,-1.8,-0.1,0.9,1.5,2023-06-26 09:00:00
58,-5.6,,2.9,340.0,38.0,1.5,-17.6,1021.5,1032.7,1.0,0.55,,,6.0,Ci,,1752,-2.4,-0.9,-0.1,0.9,1.5,2023-06-26 10:00:00
59,-4.5,,3.2,290.0,36.0,1.6,-17.3,1021.7,1032.9,1.0,0.77,,,7.0,Ci,,1736,-0.6,-0.5,0.0,0.9,1.5,2023-06-26 11:00:00
60,-3.4,,3.1,320.0,32.0,1.5,-17.7,1020.7,1031.8,1.0,1.02,,,3.0,Ci,,1706,0.0,-0.3,0.0,0.9,1.5,2023-06-26 12:00:00
61,-2.2,,2.3,320.0,31.0,1.6,-17.0,1019.9,1030.9,1.0,1.13,,,7.0,Ci,,1910,0.9,-0.1,0.0,0.9,1.5,2023-06-26 13:00:00
62,-1.5,,2.8,320.0,30.0,1.6,-16.8,1019.4,1030.4,1.0,1.1,,,1.0,Ci,,1903,1.1,0.1,0.0,0.8,1.5,2023-06-26 14:00:00
63,-1.1,,2.8,320.0,29.0,1.6,-16.9,1019.1,1030.1,1.0,0.96,,,4.0,Ci,,1976,0.6,0.3,0.0,0.8,1.5,2023-06-26 15:00:00
64,-0.4,,2.0,290.0,30.0,1.8,-15.9,1019.3,1030.3,1.0,0.62,,,1.0,Ci,,2000,0.0,0.1,0.0,0.9,1.5,2023-06-26 16:00:00
65,-1.9,,1.8,290.0,35.0,1.9,-15.3,1019.2,1030.2,1.0,0.25,,,1.0,Ci,,2000,-0.8,0.0,0.1,0.9,1.5,2023-06-26 17:00:00
66,-3.1,,2.1,270.0,39.0,1.9,-15.1,1018.9,1030.0,0.0,0.0,,,0.0,,,2000,-1.7,-0.1,0.1,0.9,1.5,2023-06-26 18:00:00
67,-3.7,,2.0,290.0,41.0,1.9,-15.0,1019.5,1030.6,,,,,,,,2000,-2.7,-0.1,0.0,0.8,1.4,2023-06-26 19:00:00
68,-3.9,,2.5,290.0,44.0,2.0,-14.3,1019.3,1030.4,,,,,,,,2000,-3.3,-0.2,0.0,0.8,1.5,2023-06-26 20:00:00
69,-4.3,,2.8,320.0,47.0,2.1,-13.9,1019.3,1030.4,,,,,7.0,Ci,,1997,-3.9,-0.3,0.0,0.9,1.5,2023-06-26 21:00:00
70,-5.2,,1.3,340.0,53.0,2.2,-13.3,1019.8,1031.0,,,,,,,,1969,-4.4,-0.8,0.0,0.8,1.5,2023-06-26 22:00:00
71,-5.9,,0.8,360.0,54.0,2.1,-13.7,1020.1,1031.3,,,,,,,,1968,-4.7,-1.1,0.0,0.8,1.5,2023-06-26 23:00:00
72,-6.3,,1.4,290.0,54.0,2.1,-14.1,1019.9,1031.1,,,,,2.0,Ci,,1990,-5.2,-1.5,0.0,0.8,1.5,2023-06-27 00:00:00
73,-6.9,,2.3,270.0,56.0,2.0,-14.2,1019.8,1031.0,,,,,,,,1994,-5.7,-1.8,-0.1,0.8,1.4,2023-06-27 01:00:00
74,-7.3,,2.0,270.0,57.0,2.0,-14.3,1019.9,1031.2,,,,,,,,1978,-6.1,-2.1,-0.1,0.8,1.4,2023-06-27 02:00:00
75,-7.4,,1.7,290.0,54.0,1.9,-15.1,1020.4,1031.7,,,,,3.0,Ci,,1968,-6.2,-2.3,-0.2,0.8,1.5,2023-06-27 03:00:00
76,-7.5,,1.3,290.0,55.0,1.9,-15.0,1020.1,1031.4,,,,,3.0,Ci,,1984,-6.2,-2.4,-0.3,0.8,1.4,2023-06-27 04:00:00
77,-7.6,,1.3,360.0,49.0,1.7,-16.4,1019.7,1031.0,,,,,1.0,Ci,,2000,-6.6,-2.6,-0.4,0.8,1.4,2023-06-27 05:00:00
78,-7.6,,2.3,290.0,47.0,1.6,-16.9,1019.3,1030.6,,,,,1.0,Ci,,2000,-6.5,-2.7,-0.5,0.7,1.4,2023-06-27 06:00:00
79,-8.1,,0.5,320.0,51.0,1.7,-16.4,1018.9,1030.2,,,,,0.0,,,1987,-6.7,-2.9,-0.6,0.8,1.4,2023-06-27 07:00:00
80,-8.6,,0.6,320.0,55.0,1.8,-16.0,1019.0,1030.3,0.0,0.0,,,3.0,Ci,,1984,-6.8,-3.1,-0.7,0.7,1.4,2023-06-27 08:00:00
81,-7.9,,1.2,20.0,48.0,1.6,-17.0,1019.0,1030.3,0.3,0.14,,,7.0,Ci,,1926,-5.5,-2.8,-0.8,0.7,1.4,2023-06-27 09:00:00
82,-6.4,,1.0,340.0,43.0,1.6,-16.9,1019.0,1030.2,1.0,0.43,,,8.0,Ci,,1872,-3.0,-1.7,-0.7,0.7,1.4,2023-06-27 10:00:00
83,-4.4,,0.8,20.0,40.0,1.8,-16.0,1018.8,1029.9,1.0,0.69,,,8.0,Cs,,1671,-0.7,-0.9,-0.5,0.7,1.4,2023-06-27 11:00:00
84,-2.9,,0.9,70.0,33.0,1.6,-16.9,1017.3,1028.4,1.0,0.92,,,9.0,Ci,,1813,0.0,-0.4,-0.3,0.7,1.4,2023-06-27 12:00:00
85,-2.0,,1.0,20.0,32.0,1.7,-16.5,1016.5,1027.5,1.0,0.91,,,10.0,Cs,,1864,0.7,-0.1,-0.2,0.7,1.4,2023-06-27 13:00:00
86,-0.8,,1.4,180.0,32.0,1.8,-15.4,1015.3,1026.2,1.0,0.78,,,10.0,Cs,,1846,0.8,0.0,-0.2,0.7,1.4,2023-06-27 14:00:00
87,-1.2,,0.8,70.0,31.0,1.7,-16.2,1014.9,1025.8,0.6,0.47,,,9.0,Ci,,1732,0.4,0.0,-0.1,0.7,1.4,2023-06-27 15:00:00
88,-1.4,,1.8,320.0,34.0,1.9,-15.2,1015.0,1026.0,0.3,0.3,,,9.0,Ci,,1719,0.0,0.0,-0.1,0.7,1.4,2023-06-27 16:00:00
89,-2.1,,1.4,290.0,37.0,1.9,-14.8,1014.9,1025.9,0.0,0.09,,,10.0,As,40.0,1591,-0.1,-0.1,-0.1,0.7,1.3,2023-06-27 17:00:00
90,-2.6,,1.4,290.0,38.0,1.9,-14.9,1014.6,1025.6,0.0,0.0,,,10.0,As,40.0,1604,-0.7,0.0,-0.1,0.6,1.4,2023-06-27 18:00:00
91,-2.7,,1.4,290.0,39.0,2.0,-14.7,1014.0,1025.0,,,,,,,47.0,1616,-1.0,-0.1,-0.1,0.7,1.3,2023-06-27 19:00:00
92,-2.8,,1.7,290.0,39.0,1.9,-14.8,1014.3,1025.3,,,,,,,41.0,1702,-1.4,-0.2,-0.1,0.7,1.4,2023-06-27 20:00:00
93,-3.1,,2.0,270.0,41.0,2.0,-14.5,1013.9,1024.9,,,,,9.0,Ac,48.0,1742,-1.8,-0.2,-0.1,0.7,1.3,2023-06-27 21:00:00
94,-3.6,,1.3,270.0,46.0,2.2,-13.5,1013.6,1024.6,,,,,,,53.0,1689,-2.8,-0.5,-0.1,0.7,1.4,2023-06-27 22:00:00
95,-4.0,,1.5,320.0,48.0,2.2,-13.4,1013.2,1024.3,,,,,,,45.0,1536,-3.4,-0.9,-0.1,0.6,1.3,2023-06-27 23:00:00
96,-4.7,,1.8,290.0,52.0,2.3,-13.0,1012.7,1023.8,,,,,4.0,Ac,48.0,1611,-4.1,-1.2,-0.1,0.7,1.3,2023-06-28 00:00:00
97,-5.1,,1.5,290.0,51.0,2.1,-13.6,1012.3,1023.4,,,,,,,53.0,1550,-4.2,-1.5,-0.2,0.7,1.3,2023-06-28 01:00:00
98,-5.3,,1.6,270.0,52.0,2.1,-13.6,1012.0,1023.1,,,,,,,49.0,1481,-4.5,-1.8,-0.3,0.7,1.4,2023-06-28 02:00:00
99,-5.5,,1.1,290.0,56.0,2.3,-12.9,1011.8,1022.9,,,,,6.0,Ac,46.0,1453,-4.8,-2.0,-0.4,0.6,1.3,2023-06-28 03:00:00
100,-5.1,,1.7,270.0,55.0,2.3,-12.7,1011.5,1022.6,,,,,10.0,As,40.0,1266,-4.3,-2.0,-0.5,0.7,1.3,2023-06-28 04:00:00
101,-5.1,,1.5,290.0,55.0,2.3,-12.7,1011.0,1022.1,,,,,9.0,Ci,,1452,-4.1,-1.8,-0.5,0.6,1.3,2023-06-28 05:00:00
102,-5.1,,1.3,270.0,54.0,2.3,-12.9,1011.0,1022.1,,,,,9.0,Ci,,1346,-4.2,-1.9,-0.6,0.7,1.3,2023-06-28 06:00:00
103,-5.3,,1.1,290.0,53.0,2.2,-13.4,1010.8,1021.9,,,,,8.0,Ci,,1300,-4.7,-2.0,-0.6,0.6,1.3,2023-06-28 07:00:00
104,-5.3,,1.0,290.0,51.0,2.1,-13.8,1010.6,1021.7,0.0,0.0,,,8.0,Ci,,1319,-4.6,-2.2,-0.7,0.6,1.3,2023-06-28 08:00:00
105,-4.7,,1.2,270.0,49.0,2.1,-13.8,1010.9,1022.0,0.0,0.12,,,8.0,Ci,,1550,-3.6,-1.9,-0.7,0.6,1.3,2023-06-28 09:00:00
106,-3.3,,1.3,320.0,50.0,2.4,-12.2,1011.0,1022.0,1.0,0.4,,,8.0,Ci,,1407,-1.3,-1.1,-0.6,0.6,1.3,2023-06-28 10:00:00
107,-0.7,,1.5,200.0,45.0,2.6,-11.1,1011.0,1021.9,1.0,0.76,,,7.0,Ci,,1429,0.0,-0.5,-0.4,0.6,1.3,2023-06-28 11:00:00
108,-0.3,,2.2,290.0,45.0,2.7,-10.8,1010.1,1021.0,1.0,1.01,,,5.0,Ci,,1066,0.7,-0.1,-0.3,0.6,1.3,2023-06-28 12:00:00
109,0.9,,2.0,270.0,43.0,2.8,-10.2,1009.2,1020.0,1.0,0.98,,,8.0,Ci,,1112,1.5,0.1,-0.2,0.6,1.3,2023-06-28 13:00:00
110,1.4,,2.0,290.0,41.0,2.8,-10.4,1008.5,1019.3,1.0,0.99,,,4.0,Ci,,1003,1.7,0.3,-0.1,0.6,1.3,2023-06-28 14:00:00
111,1.5,,2.8,290.0,34.0,2.3,-12.6,1008.6,1019.4,1.0,0.84,,,1.0,Ci,,1776,1.1,0.3,-0.1,0.6,1.3,2023-06-28 15:00:00
112,1.0,,2.9,270.0,34.0,2.2,-13.1,1009.0,1019.8,1.0,0.61,,,0.0,,,2000,0.0,0.3,-0.1,0.6,1.3,2023-06-28 16:00:00
113,-0.6,,3.3,270.0,45.0,2.6,-11.0,1009.3,1020.2,1.0,0.24,,,0.0,,,1827,-0.3,0.1,-0.1,0.6,1.3,2023-06-28 17:00:00
114,-1.8,,2.2,290.0,44.0,2.4,-12.4,1009.4,1020.3,0.2,0.01,,,0.0,,,1709,-1.0,0.0,0.0,0.6,1.3,2023-06-28 18:00:00
115,-2.5,,0.6,340.0,49.0,2.5,-11.7,1009.4,1020.3,,,,,,,,1436,-1.7,-0.1,-0.1,0.6,1.3,2023-06-28 19:00:00
116,-3.4,,1.1,270.0,51.0,2.4,-12.1,1009.6,1020.6,,,,,,,,1391,-2.5,-0.1,-0.1,0.6,1.3,2023-06-28 20:00:00
117,-3.5,,0.9,320.0,53.0,2.5,-11.7,1009.6,1020.6,,,,,0.0,,,1353,-3.2,-0.3,-0.1,0.6,1.3,2023-06-28 21:00:00
118,-3.8,,1.3,290.0,53.0,2.4,-12.0,1009.7,1020.7,,,,,,,,1300,-3.8,-0.7,-0.1,0.6,1.3,2023-06-28 22:00:00
119,-3.6,,1.9,320.0,50.0,2.3,-12.5,1010.4,1021.4,,,,,,,,1284,-4.1,-0.9,-0.1,0.6,1.3,2023-06-28 23:00:00
120,-4.3,,1.6,290.0,52.0,2.3,-12.7,1010.7,1021.7,,,,,0.0,,,1247,-4.7,-1.2,-0.2,0.6,1.3,2023-06-29 00:00:00
121,-4.8,,1.2,290.0,54.0,2.3,-12.7,1010.7,1021.8,,,,,,,,1219,-5.2,-1.7,-0.3,0.6,1.3,2023-06-29 01:00:00
122,-5.5,,1.4,270.0,56.0,2.3,-12.9,1011.1,1022.2,,,,,,,,1285,-5.7,-2.0,-0.4,0.6,1.2,2023-06-29 02:00:00
123,-5.6,,1.0,250.0,56.0,2.3,-13.0,1011.7,1022.8,,,,,0.0,,,1367,-5.9,-2.3,-0.5,0.6,1.2,2023-06-29 03:00:00
124,-5.9,,1.1,320.0,61.0,2.4,-12.2,1011.9,1023.0,,,,,0.0,,,1260,-6.3,-2.6,-0.7,0.6,1.2,2023-06-29 04:00:00
125,-6.1,,1.0,290.0,64.0,2.5,-11.8,1012.0,1023.1,,,,,0.0,,,1231,-6.6,-2.8,-0.8,0.5,1.3,2023-06-29 05:00:00
126,-6.5,,0.7,290.0,67.0,2.5,-11.6,1012.3,1023.4,,,,,0.0,,,1175,-6.8,-3.1,-0.9,0.5,1.3,2023-06-29 06:00:00
127,-6.6,,1.0,320.0,65.0,2.4,-12.0,1012.5,1023.7,,,,,0.0,,,1320,-6.9,-3.3,-1.1,0.5,1.2,2023-06-29 07:00:00
128,-6.5,,1.1,320.0,62.0,2.3,-12.5,1012.6,1023.7,0.0,0.0,,,0.0,,,1503,-6.9,-3.4,-1.2,0.5,1.2,2023-06-29 08:00:00
129,-5.8,,1.4,290.0,49.0,1.9,-14.8,1013.3,1024.4,0.6,0.16,,,0.0,,,1728,-5.2,-2.8,-1.2,0.5,1.3,2023-06-29 09:00:00
130,-3.5,,2.0,320.0,39.0,1.8,-15.4,1013.8,1024.8,1.0,0.54,,,0.0,,,1946,-2.0,-1.5,-1.0,0.5,1.3,2023-06-29 10:00:00
131,-1.6,,2.1,290.0,35.0,1.9,-15.1,1014.0,1025.0,1.0,0.87,,,0.0,,,1812,-0.2,-0.8,-0.7,0.5,1.2,2023-06-29 11:00:00
132,0.0,,2.3,270.0,35.0,2.1,-13.6,1013.8,1024.7,1.0,1.07,,,0.0,,,1672,0.4,-0.3,-0.5,0.5,1.2,2023-06-29 12:00:00
133,0.9,,2.4,290.0,28.0,1.8,-15.6,1013.1,1023.9,1.0,1.18,,,0.0,,,1895,1.5,0.0,-0.3,0.5,1.2,2023-06-29 13:00:00
134,1.8,,2.0,290.0,29.0,2.0,-14.3,1012.4,1023.2,1.0,1.14,,,0.0,,,1693,2.3,0.4,-0.2,0.5,1.2,2023-06-29 14:00:00
135,2.3,,2.2,290.0,27.0,1.9,-14.8,1012.1,1022.9,1.0,0.92,,,0.0,,,1877,1.6,0.5,-0.2,0.5,1.2,2023-06-29 15:00:00
136,2.7,,2.2,290.0,27.0,2.0,-14.4,1012.0,1022.8,1.0,0.64,,,0.0,,,1811,-0.2,0.5,-0.1,0.5,1.2,2023-06-29 16:00:00
137,1.1,,1.7,290.0,31.0,2.1,-14.1,1012.2,1023.0,1.0,0.26,,,0.0,,,1989,-0.2,0.1,-0.1,0.5,1.2,2023-06-29 17:00:00
138,-0.6,,1.6,290.0,37.0,2.2,-13.5,1011.9,1022.8,0.2,0.01,,,0.0,,,1797,-0.8,0.0,-0.1,0.5,1.2,2023-06-29 18:00:00
139,-1.2,,1.2,270.0,37.0,2.1,-14.0,1012.8,1023.7,,,,,,,,1663,-1.2,0.0,-0.1,0.5,1.2,2023-06-29 19:00:00
140,-2.1,,1.1,290.0,41.0,2.1,-13.6,1013.7,1024.7,,,,,,,,1578,-2.2,-0.1,-0.1,0.5,1.2,2023-06-29 20:00:00
141,-2.5,,0.8,290.0,47.0,2.4,-12.2,1014.0,1025.0,,,,,0.0,,,1495,-2.9,-0.2,-0.1,0.5,1.2,2023-06-29 21:00:00
142,-2.6,,1.6,290.0,47.0,2.4,-12.3,1014.4,1025.4,,,,,,,,1492,-3.3,-0.4,-0.1,0.5,1.2,2023-06-29 22:00:00
143,-3.2,,0.8,320.0,50.0,2.4,-12.1,1014.4,1025.4,,,,,,,,1429,-4.0,-0.8,-0.2,0.5,1.2,2023-06-29 23:00:00
144,-3.8,,0.7,70.0,48.0,2.2,-13.2,1014.4,1025.5,,,,,0.0,,,1574,-4.6,-1.2,-0.2,0.5,1.2,2023-06-30 00:00:00
145,-3.9,,0.2,0.0,51.0,2.3,-12.5,1014.2,1025.3,,,,,,,,1535,-5.1,-1.7,-0.3,0.5,1.2,2023-06-30 01:00:00
146,-4.4,,0.3,0.0,53.0,2.3,-12.5,1013.8,1024.9,,,,,,,,1594,-5.6,-2.0,-0.5,0.5,1.2,2023-06-30 02:00:00
147,-4.8,,0.6,20.0,56.0,2.4,-12.2,1013.8,1024.9,,,,,0.0,,,1505,-5.9,-2.3,-0.6,0.5,1.2,2023-06-30 03:00:00
148,-5.1,,0.7,20.0,60.0,2.5,-11.6,1013.4,1024.5,,,,,0.0,,,1377,-6.2,-2.6,-0.8,0.5,1.2,2023-06-30 04:00:00
149,-5.6,,0.7,70.0,58.0,2.3,-12.5,1012.8,1023.9,,,,,2.0,Ci,,1350,-6.3,-2.8,-0.9,0.5,1.2,2023-06-30 05:00:00
